run,latency_ms
0,46.2402
1,2.6370
2,0.6120
3,0.5814
4,0.5911
5,0.5591
6,0.5507
7,0.5599
8,0.5559
9,0.5593
10,0.5785
11,0.7321
12,0.4915
13,0.5263
14,0.5156
15,0.5832
16,0.5860
17,0.5907
18,0.5695
19,0.5613
20,0.5623
21,0.5499
22,0.5704
23,0.5706
24,0.5602
25,0.5715
26,1.0836
27,0.5509
28,0.5705
29,0.5506
30,0.5384
31,0.5632
32,0.5581
33,0.5611
34,0.5463
35,0.5664
36,0.5519
37,0.5969
38,0.5045
39,0.5360
40,0.5242
41,0.5783
42,0.5842
43,0.5774
44,0.5667
45,0.5503
46,0.5443
47,0.5267
48,0.5676
49,0.5540
50,0.5359
51,0.5455
52,0.5502
53,0.5394
54,0.5359
55,0.5331
56,0.5379
57,0.5337
58,0.5528
59,0.5325
60,0.5405
61,0.5344
62,0.5326
63,0.5328
64,0.5328
65,0.5572
66,0.7712
67,0.8047
68,2.9233
69,1.2201
70,1.0980
71,0.5316
72,0.5186
73,0.5278
74,0.5183
75,0.4824
76,0.5095
77,0.4875
78,0.4775
79,0.4719
80,0.4597
81,0.5254
82,0.4855
83,0.4966
84,0.4636
85,0.4778
86,0.4662
87,0.5127
88,0.4795
89,4.2624
90,0.5275
91,0.4999
92,1.0072
93,0.4421
94,0.5110
95,0.5536
96,0.5770
97,0.5744
98,0.5513
99,0.5725
100,0.5384
101,0.5325
102,0.5326
103,0.5364
104,0.5353
105,0.5246
106,0.5289
107,0.5267
108,0.5344
109,0.5267
110,0.5316
111,0.7536
112,0.6007
113,0.5341
114,0.5285
115,0.5470
116,0.5323
117,0.5749
118,0.5588
119,0.5497
120,0.5446
121,0.5529
122,0.5377
123,0.5366
124,0.5332
125,0.5609
126,0.5454
127,0.5548
128,0.5348
129,0.5392
130,0.5521
131,0.5375
132,0.5451
133,0.5479
134,0.5278
135,0.5348
136,0.5306
137,0.5508
138,0.5291
139,0.6301
140,0.6785
141,0.7283
142,0.6892
143,0.7121
144,0.6726
145,0.5310
146,0.5345
147,0.7450
148,0.6843
149,0.5092
150,0.5084
151,0.5220
152,0.5384
153,0.5430
154,0.4931
155,0.5347
156,0.5149
157,0.7229
158,0.4918
159,0.5127
160,0.4648
161,0.5003
162,0.4998
163,0.5100
164,0.4824
165,0.5211
166,0.4784
167,0.6913
168,0.5053
169,0.5126
170,0.5005
171,0.4902
172,0.5171
173,0.5000
174,0.4963
175,0.4643
176,0.4877
177,0.4639
178,0.4751
179,0.4931
180,0.4685
181,0.4862
182,0.5184
183,0.4802
184,0.4538
185,0.4742
186,0.4526
187,0.4860
188,0.4645
189,0.4759
190,0.4499
191,0.5091
192,0.4752
193,0.4838
194,0.4439
195,0.4733
196,0.4485
197,0.5058
198,0.4539
199,0.5056
